concept_id,concept_name,concept_code,vocabulary_id,cluster
45538173,"Vitiligo of right eye, unspecified eyelid and periocular area",H02.733,ICD10CM,skin
1568479,Vitiligo of eyelid and periocular area,H02.73,ICD10CM,skin
45605586,"Vitiligo of left eye, unspecified eyelid and periocular area",H02.736,ICD10CM,skin
45557286,Vitiligo of left upper eyelid and periocular area,H02.734,ICD10CM,skin
45542944,"Vitiligo of unspecified eye, unspecified eyelid and periocular area",H02.739,ICD10CM,skin
35208655,Vitiligo,L80,ICD10CM,skin
45543237,"Acute embolism and thrombosis of axillary vein, bilateral",I82.A13,ICD10CM,thrombophlebitis_and_thromboembolism
45533514,Chronic embolism and thrombosis of unspecified veins of right upper extremity,I82.701,ICD10CM,thrombophlebitis_and_thromboembolism
45552851,Acute embolism and thrombosis of left popliteal vein,I82.432,ICD10CM,thrombophlebitis_and_thromboembolism
45567226,Atheroembolism of unspecified lower extremity,I75.029,ICD10CM,thrombophlebitis_and_thromboembolism
45557595,"Phlebitis and thrombophlebitis of popliteal vein, bilateral",I80.223,ICD10CM,thrombophlebitis_and_thromboembolism
45534180,"Deep phlebothrombosis in pregnancy, unspecified trimester",O22.30,ICD10CM,thrombophlebitis_and_thromboembolism
45543223,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,I80.291,ICD10CM,thrombophlebitis_and_thromboembolism
45562409,Acute embolism and thrombosis of unspecified veins of unspecified upper extremity,I82.609,ICD10CM,thrombophlebitis_and_thromboembolism
45572138,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity,I82.4Y2,ICD10CM,thrombophlebitis_and_thromboembolism
45596248,Other arterial embolism and thrombosis of abdominal aorta,I74.09,ICD10CM,thrombophlebitis_and_thromboembolism
35207862,Embolism and thrombosis of arteries of the upper extremities,I74.2,ICD10CM,thrombophlebitis_and_thromboembolism
45601093,"Acute embolism and thrombosis of superficial veins of upper extremity, bilateral",I82.613,ICD10CM,thrombophlebitis_and_thromboembolism
45533513,Chronic embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,I82.5Z9,ICD10CM,thrombophlebitis_and_thromboembolism
35207886,Phlebitis and thrombophlebitis of unspecified site,I80.9,ICD10CM,thrombophlebitis_and_thromboembolism
45596255,Chronic embolism and thrombosis of unspecified popliteal vein,I82.539,ICD10CM,thrombophlebitis_and_thromboembolism
45543217,Atheroembolism of right lower extremity,I75.021,ICD10CM,thrombophlebitis_and_thromboembolism
45591522,Chronic embolism and thrombosis of left axillary vein,I82.A22,ICD10CM,thrombophlebitis_and_thromboembolism
45605849,"Acute embolism and thrombosis of iliac vein, bilateral",I82.423,ICD10CM,thrombophlebitis_and_thromboembolism
45533507,Phlebitis and thrombophlebitis of left popliteal vein,I80.222,ICD10CM,thrombophlebitis_and_thromboembolism
45581821,"Acute embolism and thrombosis of tibial vein, bilateral",I82.443,ICD10CM,thrombophlebitis_and_thromboembolism
45576928,Chronic embolism and thrombosis of other specified veins,I82.891,ICD10CM,thrombophlebitis_and_thromboembolism
45572083,Septic pulmonary embolism with acute cor pulmonale,I26.01,ICD10CM,thrombophlebitis_and_thromboembolism
45538452,Chronic embolism and thrombosis of superior vena cava,I82.211,ICD10CM,thrombophlebitis_and_thromboembolism
45586635,Acute embolism and thrombosis of left femoral vein,I82.412,ICD10CM,thrombophlebitis_and_thromboembolism
35207863,Embolism and thrombosis of arteries of the lower extremities,I74.3,ICD10CM,thrombophlebitis_and_thromboembolism
1553776,Chronic embolism and thrombosis of right peroneal vein,I82.551,ICD10CM,thrombophlebitis_and_thromboembolism
45548082,Acute embolism and thrombosis of deep veins of unspecified upper extremity,I82.629,ICD10CM,thrombophlebitis_and_thromboembolism
45538454,Acute embolism and thrombosis of left iliac vein,I82.422,ICD10CM,thrombophlebitis_and_thromboembolism
45538456,Acute embolism and thrombosis of deep veins of left upper extremity,I82.622,ICD10CM,thrombophlebitis_and_thromboembolism
45562406,Acute embolism and thrombosis of unspecified tibial vein,I82.449,ICD10CM,thrombophlebitis_and_thromboembolism
45543229,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,I82.401,ICD10CM,thrombophlebitis_and_thromboembolism
45605853,Chronic embolism and thrombosis of unspecified femoral vein,I82.519,ICD10CM,thrombophlebitis_and_thromboembolism
45576917,Saddle embolus of abdominal aorta,I74.01,ICD10CM,thrombophlebitis_and_thromboembolism
45591521,Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity,I82.5Z2,ICD10CM,thrombophlebitis_and_thromboembolism
45596257,Chronic embolism and thrombosis of superficial veins of unspecified upper extremity,I82.719,ICD10CM,thrombophlebitis_and_thromboembolism
45567234,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,I82.409,ICD10CM,thrombophlebitis_and_thromboembolism
45591518,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity,I80.01,ICD10CM,thrombophlebitis_and_thromboembolism
45576925,Chronic embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity,I82.5Y9,ICD10CM,thrombophlebitis_and_thromboembolism
1553756,Phlebitis and thrombophlebitis of right peroneal vein,I80.241,ICD10CM,thrombophlebitis_and_thromboembolism
45581823,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity,I82.5Y2,ICD10CM,thrombophlebitis_and_thromboembolism
45586576,Other pulmonary embolism with acute cor pulmonale,I26.09,ICD10CM,thrombophlebitis_and_thromboembolism
45543234,Chronic embolism and thrombosis of superficial veins of left upper extremity,I82.712,ICD10CM,thrombophlebitis_and_thromboembolism
45572143,Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity,I82.599,ICD10CM,thrombophlebitis_and_thromboembolism
45557593,Phlebitis and thrombophlebitis of unspecified femoral vein,I80.10,ICD10CM,thrombophlebitis_and_thromboembolism
45533510,Acute embolism and thrombosis of other specified deep vein of right lower extremity,I82.491,ICD10CM,thrombophlebitis_and_thromboembolism
45587287,"Deep phlebothrombosis in pregnancy, first trimester",O22.31,ICD10CM,thrombophlebitis_and_thromboembolism
1553769,Acute embolism and thrombosis of unspecified peroneal vein,I82.459,ICD10CM,thrombophlebitis_and_thromboembolism
45572144,Acute embolism and thrombosis of superficial veins of unspecified upper extremity,I82.619,ICD10CM,thrombophlebitis_and_thromboembolism
45605846,Phlebitis and thrombophlebitis of right tibial vein,I80.231,ICD10CM,thrombophlebitis_and_thromboembolism
45605789,Septic pulmonary embolism without acute cor pulmonale,I26.90,ICD10CM,thrombophlebitis_and_thromboembolism
45605856,Chronic embolism and thrombosis of deep veins of right upper extremity,I82.721,ICD10CM,thrombophlebitis_and_thromboembolism
45543222,Phlebitis and thrombophlebitis of unspecified tibial vein,I80.239,ICD10CM,thrombophlebitis_and_thromboembolism
45581820,Acute embolism and thrombosis of right femoral vein,I82.411,ICD10CM,thrombophlebitis_and_thromboembolism
45606541,"Superficial thrombophlebitis in pregnancy, second trimester",O22.22,ICD10CM,thrombophlebitis_and_thromboembolism
45557594,Phlebitis and thrombophlebitis of unspecified iliac vein,I80.219,ICD10CM,thrombophlebitis_and_thromboembolism
45538450,Phlebitis and thrombophlebitis of right popliteal vein,I80.221,ICD10CM,thrombophlebitis_and_thromboembolism
45538445,Embolism and thrombosis of unspecified parts of aorta,I74.10,ICD10CM,thrombophlebitis_and_thromboembolism
1553749,Single subsegmental pulmonary embolism without acute cor pulmonale,I26.93,ICD10CM,thrombophlebitis_and_thromboembolism
45533441,Chronic pulmonary embolism,I27.82,ICD10CM,thrombophlebitis_and_thromboembolism
45567240,"Chronic embolism and thrombosis of unspecified veins of upper extremity, bilateral",I82.703,ICD10CM,thrombophlebitis_and_thromboembolism
35210369,Superficial thrombophlebitis in the puerperium,O87.0,ICD10CM,thrombophlebitis_and_thromboembolism
45576924,Chronic embolism and thrombosis of unspecified tibial vein,I82.549,ICD10CM,thrombophlebitis_and_thromboembolism
45572135,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,I80.201,ICD10CM,thrombophlebitis_and_thromboembolism
45605857,"Embolism and thrombosis of superficial veins of lower extremities, bilateral",I82.813,ICD10CM,thrombophlebitis_and_thromboembolism
45591523,Acute embolism and thrombosis of unspecified subclavian vein,I82.B19,ICD10CM,thrombophlebitis_and_thromboembolism
45601085,"Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral",I80.03,ICD10CM,thrombophlebitis_and_thromboembolism
1553763,"Phlebitis and thrombophlebitis of calf muscular vein, bilateral",I80.253,ICD10CM,thrombophlebitis_and_thromboembolism
1553773,"Acute embolism and thrombosis of calf muscular vein, bilateral",I82.463,ICD10CM,thrombophlebitis_and_thromboembolism
45567244,"Chronic embolism and thrombosis of subclavian vein, bilateral",I82.B23,ICD10CM,thrombophlebitis_and_thromboembolism
35207888,Budd-Chiari syndrome,I82.0,ICD10CM,thrombophlebitis_and_thromboembolism
35207884,"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,ICD10CM,thrombophlebitis_and_thromboembolism
45543230,Chronic embolism and thrombosis of left femoral vein,I82.512,ICD10CM,thrombophlebitis_and_thromboembolism
45548085,Chronic embolism and thrombosis of unspecified axillary vein,I82.A29,ICD10CM,thrombophlebitis_and_thromboembolism
35207889,Thrombophlebitis migrans,I82.1,ICD10CM,thrombophlebitis_and_thromboembolism
45533508,"Acute embolism and thrombosis of femoral vein, bilateral",I82.413,ICD10CM,thrombophlebitis_and_thromboembolism
1569147,Pulmonary embolism,I26,ICD10CM,thrombophlebitis_and_thromboembolism
1553759,Phlebitis and thrombophlebitis of unspecified peroneal vein,I80.249,ICD10CM,thrombophlebitis_and_thromboembolism
45538449,Phlebitis and thrombophlebitis of right femoral vein,I80.11,ICD10CM,thrombophlebitis_and_thromboembolism
45552852,Acute embolism and thrombosis of left tibial vein,I82.442,ICD10CM,thrombophlebitis_and_thromboembolism
1569327,Arterial embolism and thrombosis,I74,ICD10CM,thrombophlebitis_and_thromboembolism
45562410,Acute embolism and thrombosis of left subclavian vein,I82.B12,ICD10CM,thrombophlebitis_and_thromboembolism
45576929,"Acute embolism and thrombosis of subclavian vein, bilateral",I82.B13,ICD10CM,thrombophlebitis_and_thromboembolism
1553761,Phlebitis and thrombophlebitis of right calf muscular vein,I80.251,ICD10CM,thrombophlebitis_and_thromboembolism
45572084,Other pulmonary embolism without acute cor pulmonale,I26.99,ICD10CM,thrombophlebitis_and_thromboembolism
45576922,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",I82.403,ICD10CM,thrombophlebitis_and_thromboembolism
45543236,Embolism and thrombosis of superficial veins of right lower extremity,I82.811,ICD10CM,thrombophlebitis_and_thromboembolism
45538455,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity,I82.499,ICD10CM,thrombophlebitis_and_thromboembolism
35207865,Embolism and thrombosis of iliac artery,I74.5,ICD10CM,thrombophlebitis_and_thromboembolism
1553766,Acute embolism and thrombosis of right peroneal vein,I82.451,ICD10CM,thrombophlebitis_and_thromboembolism
45543224,Phlebitis and thrombophlebitis of other deep vessels of left lower extremity,I80.292,ICD10CM,thrombophlebitis_and_thromboembolism
45601094,Acute embolism and thrombosis of deep veins of right upper extremity,I82.621,ICD10CM,thrombophlebitis_and_thromboembolism
45601095,Chronic embolism and thrombosis of unspecified subclavian vein,I82.B29,ICD10CM,thrombophlebitis_and_thromboembolism
45567241,Embolism and thrombosis of superficial veins of left lower extremity,I82.812,ICD10CM,thrombophlebitis_and_thromboembolism
45581825,Acute embolism and thrombosis of unspecified veins of left upper extremity,I82.602,ICD10CM,thrombophlebitis_and_thromboembolism
1553781,Chronic embolism and thrombosis of right calf muscular vein,I82.561,ICD10CM,thrombophlebitis_and_thromboembolism
45567238,Chronic embolism and thrombosis of left iliac vein,I82.522,ICD10CM,thrombophlebitis_and_thromboembolism
45533506,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity,I80.02,ICD10CM,thrombophlebitis_and_thromboembolism
1553762,Phlebitis and thrombophlebitis of left calf muscular vein,I80.252,ICD10CM,thrombophlebitis_and_thromboembolism
45543225,"Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral",I80.293,ICD10CM,thrombophlebitis_and_thromboembolism
45558205,"Superficial thrombophlebitis in pregnancy, unspecified trimester",O22.20,ICD10CM,thrombophlebitis_and_thromboembolism
1553772,Acute embolism and thrombosis of left calf muscular vein,I82.462,ICD10CM,thrombophlebitis_and_thromboembolism
45533518,Embolism and thrombosis of superficial veins of unspecified lower extremity,I82.819,ICD10CM,thrombophlebitis_and_thromboembolism
45557540,Saddle embolus of pulmonary artery with acute cor pulmonale,I26.02,ICD10CM,thrombophlebitis_and_thromboembolism
45543238,"Chronic embolism and thrombosis of axillary vein, bilateral",I82.A23,ICD10CM,thrombophlebitis_and_thromboembolism
45557599,Chronic embolism and thrombosis of deep veins of left upper extremity,I82.722,ICD10CM,thrombophlebitis_and_thromboembolism
45562408,Chronic embolism and thrombosis of right tibial vein,I82.541,ICD10CM,thrombophlebitis_and_thromboembolism
1553758,"Phlebitis and thrombophlebitis of peroneal vein, bilateral",I80.243,ICD10CM,thrombophlebitis_and_thromboembolism
45562403,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,I80.209,ICD10CM,thrombophlebitis_and_thromboembolism
45557600,Acute embolism and thrombosis of unspecified axillary vein,I82.A19,ICD10CM,thrombophlebitis_and_thromboembolism
35207864,"Embolism and thrombosis of arteries of extremities, unspecified",I74.4,ICD10CM,thrombophlebitis_and_thromboembolism
45543226,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity,I80.299,ICD10CM,thrombophlebitis_and_thromboembolism
45533515,Chronic embolism and thrombosis of unspecified veins of left upper extremity,I82.702,ICD10CM,thrombophlebitis_and_thromboembolism
45567227,Septic arterial embolism,I76,ICD10CM,thrombophlebitis_and_thromboembolism
35210370,Deep phlebothrombosis in the puerperium,O87.1,ICD10CM,thrombophlebitis_and_thromboembolism
45539096,"Superficial thrombophlebitis in pregnancy, third trimester",O22.23,ICD10CM,thrombophlebitis_and_thromboembolism
45552847,Atheroembolism of kidney,I75.81,ICD10CM,thrombophlebitis_and_thromboembolism
45562411,Chronic embolism and thrombosis of left subclavian vein,I82.B22,ICD10CM,thrombophlebitis_and_thromboembolism
45605852,"Chronic embolism and thrombosis of femoral vein, bilateral",I82.513,ICD10CM,thrombophlebitis_and_thromboembolism
1553778,"Chronic embolism and thrombosis of peroneal vein, bilateral",I82.553,ICD10CM,thrombophlebitis_and_thromboembolism
1553774,Acute embolism and thrombosis of unspecified calf muscular vein,I82.469,ICD10CM,thrombophlebitis_and_thromboembolism
45548081,Acute embolism and thrombosis of unspecified veins of right upper extremity,I82.601,ICD10CM,thrombophlebitis_and_thromboembolism
45543233,"Acute embolism and thrombosis of deep veins of upper extremity, bilateral",I82.623,ICD10CM,thrombophlebitis_and_thromboembolism
1553768,"Acute embolism and thrombosis of peroneal vein, bilateral",I82.453,ICD10CM,thrombophlebitis_and_thromboembolism
45605850,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity,I82.4Y9,ICD10CM,thrombophlebitis_and_thromboembolism
45533511,Chronic embolism and thrombosis of other specified deep vein of right lower extremity,I82.591,ICD10CM,thrombophlebitis_and_thromboembolism
45572141,Chronic embolism and thrombosis of left popliteal vein,I82.532,ICD10CM,thrombophlebitis_and_thromboembolism
45581822,Chronic embolism and thrombosis of right femoral vein,I82.511,ICD10CM,thrombophlebitis_and_thromboembolism
45567232,Phlebitis and thrombophlebitis of left tibial vein,I80.232,ICD10CM,thrombophlebitis_and_thromboembolism
45581824,"Chronic embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral",I82.5Z3,ICD10CM,thrombophlebitis_and_thromboembolism
45591524,Acute embolism and thrombosis of left internal jugular vein,I82.C12,ICD10CM,thrombophlebitis_and_thromboembolism
45601089,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity,I82.4Y1,ICD10CM,thrombophlebitis_and_thromboembolism
45552854,Chronic embolism and thrombosis of right internal jugular vein,I82.C21,ICD10CM,thrombophlebitis_and_thromboembolism
45605858,Acute embolism and thrombosis of unspecified internal jugular vein,I82.C19,ICD10CM,thrombophlebitis_and_thromboembolism
35207885,Phlebitis and thrombophlebitis of other sites,I80.8,ICD10CM,thrombophlebitis_and_thromboembolism
45605854,Chronic embolism and thrombosis of unspecified iliac vein,I82.529,ICD10CM,thrombophlebitis_and_thromboembolism
45596259,"Acute embolism and thrombosis of internal jugular vein, bilateral",I82.C13,ICD10CM,thrombophlebitis_and_thromboembolism
35207797,"Intracardiac thrombosis, not elsewhere classified",I51.3,ICD10CM,thrombophlebitis_and_thromboembolism
45577563,"Deep phlebothrombosis in pregnancy, second trimester",O22.32,ICD10CM,thrombophlebitis_and_thromboembolism
45552853,Chronic embolism and thrombosis of right axillary vein,I82.A21,ICD10CM,thrombophlebitis_and_thromboembolism
45597038,Puerperal septic thrombophlebitis,O86.81,ICD10CM,thrombophlebitis_and_thromboembolism
45548083,"Chronic embolism and thrombosis of superficial veins of upper extremity, bilateral",I82.713,ICD10CM,thrombophlebitis_and_thromboembolism
35207866,Embolism and thrombosis of other arteries,I74.8,ICD10CM,thrombophlebitis_and_thromboembolism
45543231,Chronic embolism and thrombosis of right popliteal vein,I82.531,ICD10CM,thrombophlebitis_and_thromboembolism
45567242,Chronic embolism and thrombosis of unspecified vein,I82.91,ICD10CM,thrombophlebitis_and_thromboembolism
45576921,Phlebitis and thrombophlebitis of unspecified popliteal vein,I80.229,ICD10CM,thrombophlebitis_and_thromboembolism
45601088,Chronic embolism and thrombosis of inferior vena cava,I82.221,ICD10CM,thrombophlebitis_and_thromboembolism
45576926,Acute embolism and thrombosis of superficial veins of left upper extremity,I82.612,ICD10CM,thrombophlebitis_and_thromboembolism
45567239,Chronic embolism and thrombosis of unspecified deep veins of right proximal lower extremity,I82.5Y1,ICD10CM,thrombophlebitis_and_thromboembolism
45538451,Acute embolism and thrombosis of superior vena cava,I82.210,ICD10CM,thrombophlebitis_and_thromboembolism
45596256,Chronic embolism and thrombosis of unspecified veins of unspecified upper extremity,I82.709,ICD10CM,thrombophlebitis_and_thromboembolism
45576923,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral",I82.4Y3,ICD10CM,thrombophlebitis_and_thromboembolism
45605851,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral",I82.4Z3,ICD10CM,thrombophlebitis_and_thromboembolism
45586634,Acute embolism and thrombosis of other thoracic veins,I82.290,ICD10CM,thrombophlebitis_and_thromboembolism
45591525,"Chronic embolism and thrombosis of internal jugular vein, bilateral",I82.C23,ICD10CM,thrombophlebitis_and_thromboembolism
45572140,"Chronic embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",I82.503,ICD10CM,thrombophlebitis_and_thromboembolism
1569148,Pulmonary embolism with acute cor pulmonale,I26.0,ICD10CM,thrombophlebitis_and_thromboembolism
45562412,Chronic embolism and thrombosis of left internal jugular vein,I82.C22,ICD10CM,thrombophlebitis_and_thromboembolism
45596252,Acute embolism and thrombosis of right tibial vein,I82.441,ICD10CM,thrombophlebitis_and_thromboembolism
45596258,Acute embolism and thrombosis of left axillary vein,I82.A12,ICD10CM,thrombophlebitis_and_thromboembolism
35207891,Embolism and thrombosis of renal vein,I82.3,ICD10CM,thrombophlebitis_and_thromboembolism
45548080,Acute embolism and thrombosis of right iliac vein,I82.421,ICD10CM,thrombophlebitis_and_thromboembolism
45562404,Acute embolism and thrombosis of inferior vena cava,I82.220,ICD10CM,thrombophlebitis_and_thromboembolism
35207867,Embolism and thrombosis of unspecified artery,I74.9,ICD10CM,thrombophlebitis_and_thromboembolism
45533512,Chronic embolism and thrombosis of unspecified deep veins of right distal lower extremity,I82.5Z1,ICD10CM,thrombophlebitis_and_thromboembolism
45576920,"Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral",I80.203,ICD10CM,thrombophlebitis_and_thromboembolism
1553767,Acute embolism and thrombosis of left peroneal vein,I82.452,ICD10CM,thrombophlebitis_and_thromboembolism
1569149,Pulmonary embolism without acute cor pulmonale,I26.9,ICD10CM,thrombophlebitis_and_thromboembolism
1553779,Chronic embolism and thrombosis of unspecified peroneal vein,I82.559,ICD10CM,thrombophlebitis_and_thromboembolism
45567224,Atheroembolism of bilateral upper extremities,I75.013,ICD10CM,thrombophlebitis_and_thromboembolism
45601091,"Acute embolism and thrombosis of unspecified veins of upper extremity, bilateral",I82.603,ICD10CM,thrombophlebitis_and_thromboembolism
45581817,Phlebitis and thrombophlebitis of right iliac vein,I80.211,ICD10CM,thrombophlebitis_and_thromboembolism
45591520,"Chronic embolism and thrombosis of other specified deep vein of lower extremity, bilateral",I82.593,ICD10CM,thrombophlebitis_and_thromboembolism
35207887,Portal vein thrombosis,I81,ICD10CM,thrombophlebitis_and_thromboembolism
45533519,Chronic embolism and thrombosis of right subclavian vein,I82.B21,ICD10CM,thrombophlebitis_and_thromboembolism
45562405,Acute embolism and thrombosis of right popliteal vein,I82.431,ICD10CM,thrombophlebitis_and_thromboembolism
45596253,Acute embolism and thrombosis of other specified deep vein of left lower extremity,I82.492,ICD10CM,thrombophlebitis_and_thromboembolism
35207861,Embolism and thrombosis of abdominal aorta,I74.0,ICD10CM,thrombophlebitis_and_thromboembolism
45576918,Atheroembolism of unspecified upper extremity,I75.019,ICD10CM,thrombophlebitis_and_thromboembolism
45538457,Chronic embolism and thrombosis of unspecified internal jugular vein,I82.C29,ICD10CM,thrombophlebitis_and_thromboembolism
1569328,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,ICD10CM,thrombophlebitis_and_thromboembolism
45567236,Chronic embolism and thrombosis of unspecified deep veins of right lower extremity,I82.501,ICD10CM,thrombophlebitis_and_thromboembolism
45533516,Chronic embolism and thrombosis of superficial veins of right upper extremity,I82.711,ICD10CM,thrombophlebitis_and_thromboembolism
35207696,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",I23.6,ICD10CM,thrombophlebitis_and_thromboembolism
45596254,Chronic embolism and thrombosis of right iliac vein,I82.521,ICD10CM,thrombophlebitis_and_thromboembolism
45601083,Atheroembolism of right upper extremity,I75.011,ICD10CM,thrombophlebitis_and_thromboembolism
45592192,"Deep phlebothrombosis in pregnancy, third trimester",O22.33,ICD10CM,thrombophlebitis_and_thromboembolism
45586636,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,I82.4Z9,ICD10CM,thrombophlebitis_and_thromboembolism
45591515,Atheroembolism of other site,I75.89,ICD10CM,thrombophlebitis_and_thromboembolism
45596251,"Acute embolism and thrombosis of popliteal vein, bilateral",I82.433,ICD10CM,thrombophlebitis_and_thromboembolism
1553784,Chronic embolism and thrombosis of unspecified calf muscular vein,I82.569,ICD10CM,thrombophlebitis_and_thromboembolism
45533517,Chronic embolism and thrombosis of deep veins of unspecified upper extremity,I82.729,ICD10CM,thrombophlebitis_and_thromboembolism
1553782,Chronic embolism and thrombosis of left calf muscular vein,I82.562,ICD10CM,thrombophlebitis_and_thromboembolism
45543232,Chronic embolism and thrombosis of other specified deep vein of left lower extremity,I82.592,ICD10CM,thrombophlebitis_and_thromboembolism
1553764,Phlebitis and thrombophlebitis of unspecified calf muscular vein,I80.259,ICD10CM,thrombophlebitis_and_thromboembolism
45552786,Saddle embolus of pulmonary artery without acute cor pulmonale,I26.92,ICD10CM,thrombophlebitis_and_thromboembolism
45567243,Acute embolism and thrombosis of right subclavian vein,I82.B11,ICD10CM,thrombophlebitis_and_thromboembolism
45533501,Atheroembolism of left upper extremity,I75.012,ICD10CM,thrombophlebitis_and_thromboembolism
45543235,"Chronic embolism and thrombosis of deep veins of upper extremity, bilateral",I82.723,ICD10CM,thrombophlebitis_and_thromboembolism
45601086,"Phlebitis and thrombophlebitis of femoral vein, bilateral",I80.13,ICD10CM,thrombophlebitis_and_thromboembolism
45557598,"Chronic embolism and thrombosis of tibial vein, bilateral",I82.543,ICD10CM,thrombophlebitis_and_thromboembolism
45572142,Chronic embolism and thrombosis of left tibial vein,I82.542,ICD10CM,thrombophlebitis_and_thromboembolism
45533520,Acute embolism and thrombosis of right internal jugular vein,I82.C11,ICD10CM,thrombophlebitis_and_thromboembolism
1553783,"Chronic embolism and thrombosis of calf muscular vein, bilateral",I82.563,ICD10CM,thrombophlebitis_and_thromboembolism
45605848,Acute embolism and thrombosis of unspecified femoral vein,I82.419,ICD10CM,thrombophlebitis_and_thromboembolism
45601092,Acute embolism and thrombosis of superficial veins of right upper extremity,I82.611,ICD10CM,thrombophlebitis_and_thromboembolism
45591519,Phlebitis and thrombophlebitis of left femoral vein,I80.12,ICD10CM,thrombophlebitis_and_thromboembolism
45557590,Embolism and thrombosis of other parts of aorta,I74.19,ICD10CM,thrombophlebitis_and_thromboembolism
45572146,Acute embolism and thrombosis of right axillary vein,I82.A11,ICD10CM,thrombophlebitis_and_thromboembolism
45581819,Chronic embolism and thrombosis of other thoracic veins,I82.291,ICD10CM,thrombophlebitis_and_thromboembolism
45538446,Embolism and thrombosis of thoracic aorta,I74.11,ICD10CM,thrombophlebitis_and_thromboembolism
45548084,Acute embolism and thrombosis of unspecified vein,I82.90,ICD10CM,thrombophlebitis_and_thromboembolism
45562407,"Chronic embolism and thrombosis of iliac vein, bilateral",I82.523,ICD10CM,thrombophlebitis_and_thromboembolism
45586632,Phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity,I80.00,ICD10CM,thrombophlebitis_and_thromboembolism
45601090,"Chronic embolism and thrombosis of popliteal vein, bilateral",I82.533,ICD10CM,thrombophlebitis_and_thromboembolism
45605855,"Chronic embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral",I82.5Y3,ICD10CM,thrombophlebitis_and_thromboembolism
1553771,Acute embolism and thrombosis of right calf muscular vein,I82.461,ICD10CM,thrombophlebitis_and_thromboembolism
1553757,Phlebitis and thrombophlebitis of left peroneal vein,I80.242,ICD10CM,thrombophlebitis_and_thromboembolism
1553777,Chronic embolism and thrombosis of left peroneal vein,I82.552,ICD10CM,thrombophlebitis_and_thromboembolism
45586637,Chronic embolism and thrombosis of unspecified deep veins of left lower extremity,I82.502,ICD10CM,thrombophlebitis_and_thromboembolism
45596250,Acute embolism and thrombosis of unspecified iliac vein,I82.429,ICD10CM,thrombophlebitis_and_thromboembolism
45534178,"Superficial thrombophlebitis in pregnancy, first trimester",O22.21,ICD10CM,thrombophlebitis_and_thromboembolism
45557597,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity,I82.4Z1,ICD10CM,thrombophlebitis_and_thromboembolism
45548079,Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity,I80.202,ICD10CM,thrombophlebitis_and_thromboembolism
45586627,Atheroembolism of left lower extremity,I75.022,ICD10CM,thrombophlebitis_and_thromboembolism
45538453,Acute embolism and thrombosis of unspecified deep veins of left lower extremity,I82.402,ICD10CM,thrombophlebitis_and_thromboembolism
1553750,Multiple subsegmental pulmonary emboli without acute cor pulmonale,I26.94,ICD10CM,thrombophlebitis_and_thromboembolism
45576927,Acute embolism and thrombosis of other specified veins,I82.890,ICD10CM,thrombophlebitis_and_thromboembolism
45567237,Chronic embolism and thrombosis of unspecified deep veins of unspecified lower extremity,I82.509,ICD10CM,thrombophlebitis_and_thromboembolism
45533509,Acute embolism and thrombosis of unspecified popliteal vein,I82.439,ICD10CM,thrombophlebitis_and_thromboembolism
45572139,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity,I82.4Z2,ICD10CM,thrombophlebitis_and_thromboembolism
45572136,"Phlebitis and thrombophlebitis of tibial vein, bilateral",I80.233,ICD10CM,thrombophlebitis_and_thromboembolism
45567225,Atheroembolism of bilateral lower extremities,I75.023,ICD10CM,thrombophlebitis_and_thromboembolism
